"tema","idGuest","convidado","total"
"Cinema",1212123334,"Edney Souza",1
"Cinema",1212126060,"Eduardo Sales",1
"Cinema",1212123576,"Gabriel Cruz",1
"Cinema",1212123034,"Gica Yabu",1
"Cinema",1212123574,"Henrique Granado",1
"Cinema",1212141847,"Ian SBF",1
"Cinema",5034,"Jurandir Filho",1
"Cinema",1212140266,"Juzão",1
"Cinema",1212138256,"Lierson Mattenhauer",1
"Cinema",1212139639,"Luquinhaz",1
"Cinema",1212130299,"Marina Val",1
"Cinema",1212130298,"Mau Faccio",1
"Cinema",1212131200,"Maurício Linhares",1
"Cinema",1212140883,"Michel Arouca",1
"Cinema",1212141293,"PH Santos",1
"Cinema",1212139590,"Pedro Paulo Silveira",1
"Cinema",1212142827,"Pedro Siqueira",1
"Cinema",1212123577,"Pollar",1
"Cinema",1212141431,"Renan Pizii",1
"Cinema",1212137416,"Roberto Sadovski",1
"Cinema",1212130386,"Sérgio Lopes",1
"Cinema",1212126050,"Sérgio Sacani",1
"Cinema",1212137415,"Talita Ribeiro",1
"Cinema",1212141618,"Thalita Lefer",1
"Cinema",1212141331,"Thiago Romariz",1
"Cinema",1212139216,"Vinícius Fuzikawa",1
"Cinema",1212138704,"Vinícius Schiavini",1
"Cinema",1212143471,"Vitor Rossi",1
"Ciências",1212122862,"Atila",48
"Ciências",1212123564,"Caio Gomes",32
"Ciências",1212123847,"André Souza",24
"Ciências",1212141282,"Ricardo di Lazzaro Filho",13
"Ciências",3244,"Bluehand",10
"Ciências",1212125942,"Pirula",8
"Ciências",1212123565,"Rafael Calsaverini",7
"Ciências",1212138572,"Altay Souza",6
"Ciências",1212122846,"Jonny Ken",6
"Ciências",274,"Tucano",6
"Ciências",1212129496,"Ana Arantes",5
"Ciências",1212130385,"Paulo Silveira",5
"Ciências",1212131200,"Maurício Linhares",4
"Ciências",1212137166,"Roberta Arcoverde",4
"Ciências",1212122462,"Carlos Voltor",3
"Ciências",2595,"Eduardo Spohr",3
"Ciências",1212125943,"Fábio Lugar",3
"Ciências",4877,"Marco Gomes",3
"Ciências",1212122463,"Cardoso",2
"Ciências",1212128349,"Irado",2
"Ciências",1212122464,"Sr.K",2
"Ciências",1212126050,"Sérgio Sacani",2
"Ciências",1212122795,"Affonso Solano",1
"Ciências",1212142348,"Airton Carvalho",1
"Ciências",1212138289,"Aline Carvalho",1
"Ciências",1212141605,"Amanda Atanes Buss",1
"Ciências",1212144399,"Ana Bonassa",1
"Ciências",1212141512,"Antonio Sérgio Kimus Braz",1
"Ciências",1212142245,"Ariana Rocha",1
"Ciências",1212129333,"Camila",1
"Ciências",1212142844,"Catarina Aydar",1
"Ciências",1212141768,"Cibele Fabichak",1
"Ciências",1212126308,"David Preti",1
"Ciências",1212130173,"Dexter",1
"Ciências",1212141606,"Débora Atanes",1
"Ciências",1212142372,"Ernesto Goulart",1
"Ciências",1212122799,"Fabio Yabu",1
"Ciências",1212135105,"Fernando Reule",1
"Ciências",1212143255,"Flávia Beó",1
"Ciências",1212144687,"Gabriela Bailas",1
"Ciências",1212138174,"Guilherme Novaes",1
"Ciências",1212133869,"Guilherme Silveira",1
"Ciências",1212142349,"Gustavo Rebello",1
"Ciências",1212140979,"Igor Santos",1
"Ciências",1212130174,"Inaldo",1
"Ciências",1212124762,"Izzy Nobre",1
"Ciências",1212143348,"Julio Cesar Batista",1
"Ciências",1212144295,"Laura Marise",1
"Ciências",1212141846,"Marcelo Alves Mori",1
"Ciências",1212126341,"Marcos Castro",1
"Ciências",1212128722,"Marcos Pontes",1
"Ciências",1212141781,"Mario Souto",1
"Ciências",1212142902,"Maurício Duboc",1
"Ciências",1212142611,"Michel Naslavsky",1
"Ciências",1212140606,"Mila Laranjeira",1
"Ciências",1212143254,"Murilo Zanini de Carvalho",1
"Ciências",1212141689,"Otto Heringer",1
"Ciências",1212126598,"Paloma",1
"Ciências",1212139440,"Patrícia Mafra",1
"Ciências",1212141845,"Pedro Duarte",1
"Ciências",1212139351,"Pri Ganiko",1
"Ciências",1212143434,"Rafael Vicente Leite",1
"Ciências",1212140285,"Reinaldo José Lopes",1
"Ciências",1212143100,"Renatha El Rafihi-Ferreira",1
"Ciências",1212141769,"Rita Wu",1
"Ciências",1212143005,"Rodrigo Trespach",1
"Ciências",1212126641,"Sandro Magaldi",1
"Ciências",1212143006,"Tawany Rocha",1
"Ciências",1212142901,"Teo Scussel",1
"Ciências",1212142845,"Thiago Gonçalves",1
"Ciências",1212141842,"Tina Menna",1
"Ciências",1212140607,"Vivi",1
"Ciências",1212142607,"Viviane Bellini",1
"Ciências",1212142893,"Yaso",1
"Comportamento",1212141723,"Mary Joe",50
"Comportamento",1212130298,"Mau Faccio",48
"Comportamento",1212143471,"Vitor Rossi",47
"Comportamento",1212122464,"Sr.K",22
"Comportamento",2002,"Portuguesa",19
"Comportamento",274,"Tucano",19
"Comportamento",3515,"JP",15
"Comportamento",1212129496,"Ana Arantes",14
"Comportamento",1212123847,"André Souza",14
"Comportamento",2003,"Sra. Jovem Nerd",13
"Comportamento",1212122797,"Diogo Braga",12
"Comportamento",1212122795,"Affonso Solano",11
