"ano","product","idGuest","convidado","total"
2016,"nerdtech",1212131200,"Maurício Linhares",5
2016,"nerdtech",1212123564,"Caio Gomes",1
2016,"nerdtech",1212131199,"Fabrizio Carraro",1
2016,"nerdtech",1212133869,"Guilherme Silveira",1
2017,"empreendedor",1212126641,"Sandro Magaldi",12
2017,"empreendedor",1212126189,"Flávio Augusto",10
2017,"empreendedor",1212137577,"Fred Trajano",1
2017,"empreendedor",1212130301,"Gustavo Caetano",1
2017,"empreendedor",1212137132,"Robinson Shiba",1
2017,"ge",1212122862,"Atila",1
2017,"ge",1212136677,"Loic",1
2017,"nerdcast",274,"Tucano",20
2017,"nerdcast",1212122862,"Atila",12
2017,"nerdcast",1212122464,"Sr.K",12
2017,"nerdcast",2595,"Eduardo Spohr",10
2017,"nerdcast",1212123847,"André Souza",7
2017,"nerdcast",1212123564,"Caio Gomes",7
2017,"nerdcast",1212122462,"Carlos Voltor",6
2017,"nerdcast",1212127694,"Filipe Figueiredo",6
2017,"nerdcast",1212124836,"Guga Mafra",6
2017,"nerdcast",3515,"JP",6
2017,"nerdcast",1212123226,"Rex",6
2017,"nerdcast",2002,"Portuguesa",5
2017,"nerdcast",1212122795,"Affonso Solano",4
2017,"nerdcast",3244,"Bluehand",3
2017,"nerdcast",1212122797,"Diogo Braga",3
2017,"nerdcast",1212122317,"Gaveta",3
2017,"nerdcast",2003,"Sra. Jovem Nerd",3
2017,"nerdcast",1212136729,"Alexander Stahlhoefer",2
2017,"nerdcast",1212129496,"Ana Arantes",2
2017,"nerdcast",3662,"Android",2
2017,"nerdcast",1212122796,"Beto Estrada",2
2017,"nerdcast",1212137030,"Carlinhos Troll",2
2017,"nerdcast",1212122799,"Fabio Yabu",2
2017,"nerdcast",1212122669,"Leonel Caldela",2
2017,"nerdcast",1212136778,"Adriano Paciello",1
2017,"nerdcast",1212135761,"Beto Neves",1
2017,"nerdcast",1212135982,"Daniel Jezini",1
2017,"nerdcast",1212135759,"Diego Moreno",1
2017,"nerdcast",1212122798,"Francine Gladulich",1
2017,"nerdcast",1212125943,"Fábio Lugar",1
2017,"nerdcast",1212137575,"Gilmar Lopes",1
2017,"nerdcast",326,"Guilherme Briggs",1
2017,"nerdcast",1212123574,"Henrique Granado",1
2017,"nerdcast",1212137077,"Lito",1
2017,"nerdcast",1212135760,"Luizinho Mazzei",1
2017,"nerdcast",1212125950,"Marcela Versiani",1
2017,"nerdcast",1212137936,"Marcelo Bassoli",1
2017,"nerdcast",1212130299,"Marina Val",1
2017,"nerdcast",1212136384,"Mauricio Taborda",1
2017,"nerdcast",309,"Nick Ellis",1
2017,"nerdcast",1212125942,"Pirula",1
2017,"nerdcast",1212137416,"Roberto Sadovski",1
2017,"nerdcast",1212137415,"Talita Ribeiro",1
2017,"nerdtech",1212131200,"Maurício Linhares",11
2017,"nerdtech",1212130385,"Paulo Silveira",11
2017,"nerdtech",1212130386,"Sérgio Lopes",5
2017,"nerdtech",1212122862,"Atila",3
2017,"nerdtech",1212137796,"André Breves",1
2017,"nerdtech",1212137167,"Guilherme Camillo",1
2017,"nerdtech",1212141689,"Otto Heringer",1
2017,"nerdtech",1212137166,"Roberta Arcoverde",1
2018,"empreendedor",1212126189,"Flávio Augusto",11
2018,"empreendedor",1212126641,"Sandro Magaldi",9
2018,"empreendedor",1212137030,"Carlinhos Troll",1
2018,"empreendedor",1212125928,"Ken Fujioka",1
2018,"empreendedor",4877,"Marco Gomes",1
2018,"empreendedor",1212139680,"Rick Chesther",1
2018,"empreendedor",1212139965,"Ícaro de Carvalho",1
2018,"nerdcash",1212139216,"Vinícius Fuzikawa",4
